"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
29712,226,"THA","Thailand",3,"Bangkok Metropolis",22,"Bang Rak","<U+0E1A><U+0E32><U+0E07><U+0E23><U+0E31><U+0E01>","","Khet","District"
29713,226,"THA","Thailand",3,"Bangkok Metropolis",23,"Bang Su","<U+0E1A><U+0E32><U+0E07><U+0E0B><U+0E37><U+0E48><U+0E2D>","Bang Sue","Khet","District"
29860,226,"THA","Thailand",3,"Bangkok Metropolis",24,"Bangkhuntien","<U+0E1A><U+0E32><U+0E07><U+0E02><U+0E38><U+0E19><U+0E40><U+0E17><U+0E35><U+0E22><U+0E19>","Bang Khun Thian","Khet","District"
29861,226,"THA","Thailand",3,"Bangkok Metropolis",25,"Bangkok Noi","<U+0E1A><U+0E32><U+0E07><U+0E01><U+0E2D><U+0E01><U+0E19><U+0E49><U+0E2D><U+0E22>","","Khet","District"
29862,226,"THA","Thailand",3,"Bangkok Metropolis",26,"Bangkok Yai","<U+0E1A><U+0E32><U+0E07><U+0E01><U+0E2D><U+0E01><U+0E43><U+0E2B><U+0E0D><U+0E48>","","Khet","District"
29863,226,"THA","Thailand",3,"Bangkok Metropolis",27,"Bung Kum","<U+0E1A><U+0E36><U+0E07><U+0E01><U+0E38><U+0E48><U+0E21>","Bueng Kum","Khet","District"
29864,226,"THA","Thailand",3,"Bangkok Metropolis",28,"Chatuchak","<U+0E08><U+0E15><U+0E38><U+0E08><U+0E31><U+0E01><U+0E23>","","Khet","District"
29865,226,"THA","Thailand",3,"Bangkok Metropolis",29,"Chom Thong","<U+0E08><U+0E2D><U+0E21><U+0E17><U+0E2D><U+0E07>","","Khet","District"
29866,226,"THA","Thailand",3,"Bangkok Metropolis",30,"Din Dang","<U+0E14><U+0E34><U+0E19><U+0E41><U+0E14><U+0E07>","Din Daeng","Khet","District"
29867,226,"THA","Thailand",3,"Bangkok Metropolis",31,"Don Muang","<U+0E14><U+0E2D><U+0E19><U+0E40><U+0E21><U+0E37><U+0E2D><U+0E07>","Don Mueang","Khet","District"
29868,226,"THA","Thailand",3,"Bangkok Metropolis",32,"Dusit","<U+0E14><U+0E38><U+0E2A><U+0E34><U+0E15>","","Khet","District"
29869,226,"THA","Thailand",3,"Bangkok Metropolis",33,"Huai Kwang","<U+0E2B><U+0E49><U+0E27><U+0E22><U+0E02><U+0E27><U+0E32><U+0E07>","","Khet","District"
29870,226,"THA","Thailand",3,"Bangkok Metropolis",34,"Khan Na Yao","<U+0E04><U+0E31><U+0E19><U+0E19><U+0E32><U+0E22><U+0E32><U+0E27>","","Khet","District"
29871,226,"THA","Thailand",3,"Bangkok Metropolis",35,"Khlong Sam Wa","<U+0E04><U+0E25><U+0E2D><U+0E07><U+0E2A><U+0E32><U+0E21><U+0E27><U+0E32>","","Khet","District"
29872,226,"THA","Thailand",3,"Bangkok Metropolis",36,"Khlong San","<U+0E04><U+0E25><U+0E2D><U+0E07><U+0E2A><U+0E32><U+0E19>","","Khet","District"
29873,226,"THA","Thailand",3,"Bangkok Metropolis",37,"Khlong Toey","<U+0E04><U+0E25><U+0E2D><U+0E07><U+0E40><U+0E15><U+0E22>","Khlong Toei","Khet","District"
29874,226,"THA","Thailand",3,"Bangkok Metropolis",38,"Lak Si","<U+0E2B><U+0E25><U+0E31><U+0E01><U+0E2A>","","Khet","District"
29875,226,"THA","Thailand",3,"Bangkok Metropolis",39,"Lat Krabang","<U+0E25><U+0E32><U+0E14><U+0E01><U+0E23><U+0E30><U+0E1A><U+0E31><U+0E07>","","Khet","District"
29876,226,"THA","Thailand",3,"Bangkok Metropolis",40,"Lat Phrao","<U+0E25><U+0E32><U+0E14><U+0E1E><U+0E23><U+0E49><U+0E32><U+0E27>","","Khet","District"
29877,226,"THA","Thailand",3,"Bangkok Metropolis",41,"Min Buri","<U+0E21><U+0E35><U+0E19><U+0E1A><U+0E38><U+0E23><U+0E35>","","Khet","District"
29878,226,"THA","Thailand",3,"Bangkok Metropolis",42,"Nong Chok","<U+0E2B><U+0E19><U+0E2D><U+0E07><U+0E08><U+0E2D><U+0E01>","","Khet","District"
29879,226,"THA","Thailand",15,"Kanchanaburi",228,"Nong Prue","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E2B><U+0E19><U+0E2D><U+0E07><U+0E1B><U+0E23><U+0E37><U+0E2D>","","Amphoe","District"
29880,226,"THA","Thailand",15,"Kanchanaburi",229,"Phanom Thuan","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E1E><U+0E19><U+0E21><U+0E17><U+0E27><U+0E19>","","Amphoe","District"
29881,226,"THA","Thailand",15,"Kanchanaburi",230,"Sai Yok","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E44><U+0E17><U+0E23><U+0E42><U+0E22><U+0E04>","","Amphoe","District"
